_id,text,created_at
674f2f6c5e8c5f1843d9980e,"@Laiseran @bhartiyaaa0 @ritam3410 @HarleyJ14282843 @mbappe23469420 @d3vd121 @mr_walls11 @PicturesFoIder We know the origin, cause  our ancestors and we have been eating for thousands of years

Pizza has name from Italian language so it is italian, hamburgers have name from do  germany language so it is German food

Chicken Tikka Masala has name from Indian language so Indian food",
674f2f6c5e8c5f1843d9980f,"@caughtedhanded Who said anything about Germany, you literally live in England",
674f2f6d5e8c5f1843d99810,"RT @DVanLangenhove: In Germany, a 30-year-old Syrian man did not receive a prison sentence for the r4pe of a 15-year-old girl, only a suspe…",
674f2f6d5e8c5f1843d99811,"@avericen @omgkorn420 @AdameMedia He hasn't stepped foot inside of Germany.

I don't underestimate nothing. I live in Europe. People are angry at what the government is doing with their tax money.",
674f2f6d5e8c5f1843d99812,"RT @RadioGenoa: ""Don't bother me, I have to pray to Allah!"" A Muslim in Germany blocks highway to pray to Allah. Does this seem normal to y…",
674f2f6d5e8c5f1843d99813,"The Ministry of the Economy and Innovation of Lithuania, UN Tourism &amp; @OECD_local ,hosted a workshop on AI in tourism.

✅ Insights from policymakers &amp; experts
✅ Case studies: Lithuania, Portugal, Germany, Republic of Korea
✅ Visionary AI applications

🔗https://t.co/ByHubJJ3ER https://t.co/yvSSSqi0it",
674f2f6d5e8c5f1843d99814,"RT @stats_feed: Freedom level:

🇫🇮 Finland: 100
🇸🇪 Sweden: 99
🇳🇿 New Zealand: 99
🇳🇴 Norway: 98
🇮🇪 Ireland: 97
🇩🇰 Denmark: 97
🇳🇱 Netherlands…",
674f2f6d5e8c5f1843d99815,"RT @VladTwitting2: A decolonization expert from Russia is an oxymoron, like an antisemist expert from Nazi Germany.",
674f2f6e5e8c5f1843d99816,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f6e5e8c5f1843d99817,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f6e5e8c5f1843d99818,RT @RadioGenoa: These are Christmas markets in Germany. https://t.co/QHI4ggLhZb,
674f2f6e5e8c5f1843d99819,RT @intermarium24: 🇩🇪🫂🇺🇦 Christmas tree in Berlin  - Germany stand with Ukraine 🫡 https://t.co/fkMNDpmTyu,
674f2f6e5e8c5f1843d9981a,@RadioGenoa cmon germany you can do it,
674f2f6e5e8c5f1843d9981b,@everytimebax Swifties are the  modern Jews in the ww2 Germany,
674f2f6f5e8c5f1843d9981c,"Trump going to France.
Germany in the news.

Check out this drop.

Kerry? BHO? https://t.co/SmNHRkCKnU https://t.co/AoIjrRxHM2",
674f2f6f5e8c5f1843d9981d,"RT @bopanc: 3 years into the war, Russia ""produces more weapons, ammunition and military equipment in three months than the European states…",
674f2f6f5e8c5f1843d9981e,"@ressemblanch Is this Germany February 2025? 

Is this Scholz with Russian money accusing AfD of Putinists?",
674f2f6f5e8c5f1843d9981f,"@WSJ It's about time Germany realizes the kind of trouble it is in.
- energy cost too high after it shun Russia
- woke policies drying up government budget
- unchecked immigration raising crime",
674f2f6f5e8c5f1843d99820,"Jews are committing unspeakable atrocities against Palestinians, the likes of which we’ve not seen in our lifetime. Israeli sadism eclipses Nazi Germany in scale and depravity. 

@Keir_Starmer what is your justification for supporting genocide? 

#TikTok https://t.co/IHpz1DqIoN",
674f2f6f5e8c5f1843d99821,Storks and the park...........Storchenpark in Wyk auf Föhr   #storks #Germany   https://t.co/OotlITUFAc,
674f2f6f5e8c5f1843d99822,"@RMXnews Well, Germany is digging its own grave",
674f2f705e8c5f1843d99823,"RT @RadioGenoa: The native German does not want women with hijab and burka in Germany: ""We don't want your shitty culture and religion in G…",
674f2f705e8c5f1843d99824,"RT @upscnetwork4: PRELIMS TRICKS 

🔆Baltic Sea Surrounding Counties

Trick :- [ RuDe Germany SELL Poland &amp; Finland ] 
 
R - Russia 
D - Den…",
674f2f705e8c5f1843d99825,"Four teens receive 8.5-10 years for the joint murder of two young Ukrainian basketball players in Oberhausen, Germany.

Volodymyr Yermakov (left), 17, and Artem Kozachenko (right), 18, fled to Germany from the war in Ukraine in 2023 and played for the AR… https://t.co/9BqLqdLRTJ",
674f2f705e8c5f1843d99826,"RT @ColReconstruire: ""en Allemagne, les constructeurs automobiles et les responsables politiques sont beaucoup plus préoccupés par d’éventu…",
674f2f705e8c5f1843d99827,"‘Starry Sky, Attempt’, 1909

by multitalented artistic force in German Expressionism, Wenzel Hablik

He said that at age six he first saw in a crystal, ‘magical castles and mountains’ that would inspire his art.

There’s a museum devoted to his work in Itzehoe, Germany.🇩🇪 https://t.co/6hIGE7TmGr",
674f2f705e8c5f1843d99828,"RT @AXChristoforou: South Korean President Yoon declared emergency martial law, accusing the opposition of controlling parliament, sympathi…",
674f2f705e8c5f1843d99829,BEST BIBLE STUDY ON EARTH. https://t.co/fKvoMbDYJG #News #Philippines #Israel #UAE #China #Russia #India #Japan #SouthKorea #Mexico #UK #Germany #Ukraine #France #Iran #Canada #Italy #Emirates #EU #Australia #Denmark #RussianFederation #GreatBritain #SaudiArabia #Brazil #Hungary https://t.co/TMQSVDj75L,
674f2f715e8c5f1843d9982a,RT @tolly_UK_US_EU: #Pushpa2 Germany Bookings on RAMPAGE mode🔥🔥🔥🔥,
674f2f715e8c5f1843d9982b,"Big Breaking News 🚨:

Germany's Scholz pledges new military aid to Ukraine during rare Kyiv trip https://t.co/lD3EPgK9O3 https://t.co/WE1aztHbaN",
674f2f715e8c5f1843d9982c,@PrestonPysh @PatrickMcHenry @RonWyden Do we want to make the mistake Germany did-selling all their bitcoin at 50k?,
674f2f715e8c5f1843d9982d,"RT @elonmusk: People in Germany really need to use 𝕏 to know what’s really happening. 

The legacy media is pure propaganda. 

Send https:/…",
674f2f715e8c5f1843d9982e,RT @KurdishCenterGR: Germany: Approaches to Political and Economic Crises @@KurdishCenterGR https://t.co/w3d20eP8Hz,
674f2f715e8c5f1843d9982f,"RT @ArabellaNa73556: Reblog and follow
#USA #sissifacation #Germany #germanboy #sissyslut #sissification #bimbofication #feminization #siss…",
674f2f715e8c5f1843d99830,"RT @PrinceKarthi14: #Kanguva Overseas Gross :

North America - $738K
Gulf ~ $740K
UK - $244K
Aus + Nz - $130K+
Sri Lanka - $175K
Russia - $…",
674f2f725e8c5f1843d99831,RT @julianddorey: Episode 255 w/ WW2 Legend Jake Ruser is available now on YT &amp; Spotify. Jake WW2 made it from the beaches of Normandy all…,
674f2f725e8c5f1843d99832,"@TaraBull808 Yes, if all of Canada’s liberals are deported to Germany before it becomes the 51st state.",
674f2f725e8c5f1843d99833,"RT @WucherG: @kangaroos991 I’m a southern born white boy here in North Florida, and I definitely find it offensive!! Don’t let the MAGA sch…",
674f2f725e8c5f1843d99834,RT @realstewpeters: “We saw similar themes in Weimar Germany as far as exploring the fluidity of gender and aiming it at children. Now we’r…,
674f2f725e8c5f1843d99835,"RT @Joyofli79316250: Herbie Hancock Quartet 1989 Berlin, Germany https://t.co/lwCQEJIjpW via @YouTube",
674f2f725e8c5f1843d99836,RT @intermarium24: 🇩🇪🫂🇺🇦 Christmas tree in Berlin  - Germany stand with Ukraine 🫡 https://t.co/fkMNDpmTyu,
674f2f735e8c5f1843d99837,"RT @KShevchenkoReal: 🇺🇦 Yuriy Ryzhenkov, steel CEO of @Metinvest_Group, envisions a post-war economic rebound for Ukraine, drawing parallel…",
674f2f735e8c5f1843d99838,@amanpour Not listening to a former head of Germany scold anyone else on authoritarianism.  They are masters of it.,
674f2f735e8c5f1843d99839,"@ranigour25 @freemonotheist 2. Societies like Nazi Germany, Fascist Italy, Apartheid South Africa, or more recently;Israel, the US, the UK, much of Europe, have shown how these dynamics serve the oligarchy. Pathetic.",
674f2f735e8c5f1843d9983a,"Germany is a man, tired after a short night
Welch Geistesblitz von Chrissy https://t.co/8qAeA2Afei",
674f2f735e8c5f1843d9983b,"RT @laurabarr39: Germany has made us love each other more 🥹😭🤍✨

#Billybabe #babiibabe #bbil1ypn 

 https://t.co/92QVjzUp5A",
674f2f735e8c5f1843d9983c,"RT @AzatAlsalim: In Germany a Syrian immigrant, Hamza A. burned a 17-year-old girl (his fiancée sister) alive to death.
He poured petrol ov…",
674f2f735e8c5f1843d9983d,RT @intermarium24: 🇩🇪🫂🇺🇦 Christmas tree in Berlin  - Germany stand with Ukraine 🫡 https://t.co/fkMNDpmTyu,
674f2f745e8c5f1843d9983e,"RT @Artemisfornow: 🔥GERMANY - 70,000 workers downed tools at VW factories today, as the EV crisis spreads.

The workers know the people don…",
674f2f745e8c5f1843d9983f,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f745e8c5f1843d99840,"Most importantly you want to evaluate productivity and competitiveness. 

When you have complete morons like Olaf Scholtz (however his irrelevant last name is spelt) leading germany, or crooked gaslighting liars at the ECB, your trust is NOT rewarded, actually they destroy wealth",
674f2f745e8c5f1843d99841,RT @sanjeevsanyal: Germany 1938,
674f2f745e8c5f1843d99842,"RT @Katsikajules: The utter desperation, 2 children &amp; a woman crushed to death seeking bread. Meanwhile @DavidLammy with Germany &amp; France a…",
674f2f745e8c5f1843d99843,RT @AndersonAfDMdEP: 🇬🇧|The German government plans to collaborate with Greece to manage the influx of thousands of #migrants. Returning il…,
674f2f745e8c5f1843d99844,"this is an absolute JOKE of an EU tour, wdym 4 EU dates and half of them are Germany 👹
EASTERN EUROPE LEFT IN THE DUST ONCE AGAIN I AM SO TIRED https://t.co/tGAYNg65dr",
674f2f755e8c5f1843d99845,"RT @AlgoFoundation: It’s an Algorand takeover on @Forbes @ForbesCrypto 

If you’re in the US, Germany, Nigeria, India or Italy, head over t…",
674f2f755e8c5f1843d99846,RT @realstewpeters: “We saw similar themes in Weimar Germany as far as exploring the fluidity of gender and aiming it at children. Now we’r…,
674f2f755e8c5f1843d99847,"RT @AdameMedia: 🇨🇳🇩🇪Foreign Minister Baerbock arrives in China, pisses them off, and is coldly dismissed.

The joint press conference was c…",
674f2f755e8c5f1843d99848,"RT @realstewpeters: 🇩🇪Germany is STILL paying reparations to holocaust survivors. 

The AMCHA in Israel defines a “holocaust survivor” as:…",
674f2f755e8c5f1843d99849,"RT @skydogsanctuary: With #givingtuesday #donations from Germany, Canada, the Netherlands, Switzerland, Australia, Italy &amp; the USA, we hit…",
674f2f755e8c5f1843d9984a,RT @MaceAhWindu: Isn’t this literally what the liberals in Weimar Germany did?,
674f2f755e8c5f1843d9984b,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f765e8c5f1843d9984c,RT @NetZeroWatch: Andrew Neil has warned that Net Zero targets could spell disaster for the auto sector as workers protest factory closures…,
674f2f765e8c5f1843d9984d,"The Central Bank of Iraq signs a memorandum (MoU) of cooperation with the European Union and Germany to enhance financial markets , public finances and providing training to the CBI cadres in various specializations. All I see is good news from CBI unlike parliament🇮🇶 #IQD https://t.co/VYLvQxFq7D",
674f2f765e8c5f1843d9984e,"RT @Monica85198503: “The world is so full of wonderful things
we should all, if we were taught how
to appreciate it, be far richer than kin…",
674f2f765e8c5f1843d9984f,"RT @dgonzalezrivas: First day of masterclass in Uniportal robotic surgery at Klinikum Bielefeld, Germany, with lectures and one interesting…",
674f2f765e8c5f1843d99850,@RadioGenoa They are ruining Germany.   🇩🇪 Germany needs to start deporting these disloyal radicals!,
674f2f765e8c5f1843d99851,"RT @Johnixxx95: When this post get 15 likes, I make a Profil pic with my girlfriend panties..(lost a bet)

#sph#cuck#dick#cuckold#tinydick#…",
674f2f765e8c5f1843d99852,"RT @realMaalouf: During a graduation ceremony in Germany, a Muslim woman refused to shake hands with the dean.

Shaking hands is ‘haram’, b…",
674f2f775e8c5f1843d99853,"RT @EuromaidanPress: Four teens receive 8.5-10 years for the joint murder of two young Ukrainian basketball players in Oberhausen, Germany.…",
674f2f775e8c5f1843d99854,IT’S LIKE I’M A REAL AUTHOR!!! Found the German version of my 1st novel THE DAUGHTER in a book shop in Nuremberg in Germany!!! https://t.co/SMv3Mdqxcj,
674f2f775e8c5f1843d99855,"@0xdasha it’s okay, in germany i get to go to a women’s prison.",
